,game_id,time,quarter,event,total_time
0,0,720.0,1,Jump ball: K. Garnett vs. S. O'Neal (R. Rondo gains possession),0.0
1,0,707.0,1,P. Pierce makes 2-pt shot from 18 ft,52.0
2,0,687.0,1,G. Hill misses 2-pt shot from 2 ft,132.0
3,0,686.0,1,Defensive rebound by K. Garnett,136.0
4,0,677.0,1,P. Pierce makes 2-pt shot from 2 ft,172.0
5,0,658.0,1,A. Stoudemire misses 2-pt shot from 9 ft,248.0
6,0,657.0,1,Defensive rebound by K. Garnett,252.0
7,0,653.0,1,Offensive foul by R. Rondo (drawn by S. Nash),268.0
8,0,653.0,1,Turnover by R. Rondo (offensive foul),268.0
9,0,638.0,1,Turnover by A. Stoudemire (bad pass),328.0
10,0,625.0,1,P. Pierce makes 2-pt shot from 12 ft,380.0
11,0,615.0,1,Turnover by S. O'Neal (lost ball; steal by K. Garnett),420.0
12,0,606.0,1,B. Scalabrine misses 3-pt shot from 24 ft,456.0
13,0,605.0,1,Defensive rebound by J. Richardson,460.0
14,0,589.0,1,S. O'Neal makes 2-pt shot from 2 ft,524.0
15,0,573.0,1,P. Pierce misses 2-pt shot from 6 ft (block by G. Hill),588.0
16,0,571.0,1,Offensive rebound by P. Pierce,596.0
17,0,569.0,1,R. Allen makes 3-pt shot from 24 ft (assist by P. Pierce),604.0
18,0,561.0,1,Phoenix full timeout,636.0
19,0,547.0,1,G. Hill makes 3-pt shot from 23 ft (assist by S. Nash),692.0
20,0,531.0,1,R. Rondo makes 2-pt shot from 18 ft (assist by P. Pierce),756.0
21,0,514.0,1,S. Nash makes 2-pt shot from 9 ft,824.0
22,0,506.0,1,Personal foul by G. Hill (drawn by P. Pierce),856.0
23,0,498.0,1,K. Garnett makes 2-pt shot from 20 ft (assist by R. Allen),888.0
24,0,476.0,1,Turnover by S. Nash (bad pass; steal by P. Pierce),976.0
25,0,471.0,1,B. Scalabrine makes 2-pt shot from 2 ft (assist by R. Rondo),996.0
26,0,461.0,1,Phoenix 20 second timeout,1036.0
27,0,452.0,1,Turnover by J. Richardson (bad pass; steal by R. Allen),1072.0
28,0,428.0,1,P. Pierce misses 3-pt shot from 29 ft,1168.0
29,0,427.0,1,Defensive rebound by S. Nash,1172.0
30,0,409.0,1,Offensive foul by A. Stoudemire (drawn by B. Scalabrine),1244.0
31,0,409.0,1,Turnover by A. Stoudemire (offensive foul),1244.0
